Country,City,LevelOfCrime,CrimeIncrIn3years,HomeBroken,MuggedOrRobbed,CarStolen,ThingsFromCarStolen,Attacked,Insulted,AttackCauseEGR,Drugs,VandalismAndTheft,ViolentCrimes,CorruptionAndBribery,SafetyDaylight,SafetyNight,Contributors,Update,cindex,sindex,latitude,longitude
Kazakhstan,,66,72.93,63.38,64.12,55.81,68.64,61.99,58.4,42.51,53.35,65.46,54.7,90.23,60.18,29.19,276,March 2020,62362,37638,47.228609,65.20932
Togo,,44.44,66.67,56.25,53.57,53.12,39.29,46.43,42.86,32.14,46.43,58.33,53.12,77.78,61.11,44.44,9,February 2020,50221,49779,8.780027,1.019977
Cyprus,,27.02,66.37,39.99,20.65,21.72,34.58,19.78,27.47,18.52,30.54,35.16,22.48,59.36,87.92,70.39,205,March 2020,30551,69449,34.982302,33.145129
Vatican City,,10,14,5,13,15,16,10,7,3,14,23,30,30,95,67,7,February 2020,14588,85412,41.903491,12.452835
Bonaire,,45,50,40,45,55,60,40,35,35,50,60,45,55,70,50,5,October 2019,46176,53824,12167,-68.290968
Sint Maarten,,0,0,0,0,12.5,25,0,0,0,25,12.5,0,25,100,87.5,2,July 2017,6618,93382,52.755935,4.750547
Antigua And Barbuda,,87.5,80,75,50,50,65,40,45,40,60,55,70,65,55,30,5,December 2019,63088,36912,17.079128,-61.822252
Iraq,,50.46,55.09,46.83,45.03,42.74,46.08,46.23,41.67,41.77,37.18,48.18,51.66,65.51,64.45,53.18,169,March 2020,47160,52840,33.095579,44.174978
Ukraine,,51.67,68.2,49.33,44.93,45.14,56.63,44.57,40,26.11,46.7,55.88,40.35,83.62,75.99,45.46,1063,March 2020,49119,50881,49.487197,31.271832
Saint Kitts And Nevis,,25,25,31.25,18.75,18.75,18.75,12.5,6.25,0,18.75,31.25,31.25,25,93.75,75,4,December 2019,20221,79779,17.346228,-62.768728
Belize,,62.5,76.39,59.03,50.71,19.12,46.97,44.44,40.44,25,58.57,61.43,55.56,81.43,70.14,36.81,37,February 2020,52920,47080,16.825979,-88.760093
Guinea,,75,50,50,75,75,75,50,50,50,100,75,75,100,25,0,1,January 2019,72059,27941,10.722623,-10.708359
Nicaragua,,48.77,55.54,46.75,47.21,31.72,49.81,39.17,32.61,16.67,39.89,49.3,43.69,73.91,71.75,36.55,49,February 2020,44958,55042,12.372493,-84.870031
Benin,,50,50,46.43,46.43,17.86,42.86,33.33,32.14,14.29,21.43,41.67,35.71,78.57,96.43,71.43,7,January 2020,37815,62185,9.529347,2.258441
Sudan,,35.19,57.25,47.69,42.31,43.07,64.28,35.5,31.45,29.84,38.71,54.43,35.5,78.23,77.83,63.13,34,February 2020,42522,57478,14.584444,29.491769
Djibouti,,65,83.33,58.33,62.5,62.5,66.67,70.83,75,66.67,58.33,70,54.17,83.33,33.33,29.17,6,September 2019,67304,32696,11.856775,42.757785
Netherlands,,27.11,48.64,29.21,22.95,19.59,30.12,23.64,27.38,19.77,38.47,36.77,23.29,18.04,84.57,67.82,960,March 2020,27459,72541,52.237989,5.534607
Trinidad And Tobago,,84.56,84.77,69.54,74.83,66.89,72.33,67.83,57.38,32.78,77.83,73.15,82.78,89.26,47.37,15.79,153,February 2020,72935,27065,10.867785,-60.982107
Mauritania,,43.75,68.75,62.5,56.25,40.62,46.88,56.25,40.62,53.12,34.38,50,50,65.62,87.5,43.75,8,June 2019,48529,51471,20.254038,-9.239926
Slovenia,,12.25,51.3,18.89,14.04,14.72,23.03,13.95,14.3,10.66,32.4,29.26,15.1,56.95,92.3,79.01,351,March 2020,21179,78821,45.813311,14.480837
Timor-Leste,,44.55,48.84,53.84,41.34,30.36,50.11,35.09,36.76,30.56,26.39,52.59,42.59,76.39,83.42,48.84,21,February 2020,42721,57279,-8.515198,125.837576
Somalia,,59,54.81,59.5,63.46,57.08,55,57.55,56.25,54.9,51.44,60.1,61.76,71.63,47.17,42.13,54,January 2020,58305,41695,8.367677,49.083416
Tonga,,66.67,75,68.18,68.75,64.58,72.92,70.45,66.67,63.64,65.91,68.75,56.25,70.83,56.25,33.33,12,June 2019,66021,33979,-19.916082,-175.202642
Bangladesh,,71.56,69.43,60.83,68.14,60.61,59.53,58.73,57.3,36.64,66.06,67.26,61.29,87.82,48.44,24.79,300,March 2020,64417,35583,24.476878,90.293243
Vanuatu,,40,70,65,37.5,37.5,20,25,31.25,30,12.5,30,20,45,100,80,6,November 2019,33162,66838,-16.525507,168.106915
Estonia,,20.69,35.73,20.22,18.39,17.72,29.13,22.4,20.76,19.61,32.45,29.9,15.78,29.29,89.18,69.43,302,March 2020,23226,76774,58.752378,25.331908
Central African Republic,,86.11,85,77.5,80,77.5,80,75,77.5,87.5,75,80,82.5,90,20,10,10,December 2019,82108,17892,7.03236,19.998123
Monaco,,19.3,45.16,21.03,19.3,21.03,19.3,13.74,14.81,16.35,30.56,16.72,18.44,29.81,85.68,83.1,30,February 2020,20904,79096,43.731142,7.419758
Germany,,35.21,63.79,33.11,32.68,24.33,31.98,36.93,40.25,26.42,44.71,43.23,30.63,24.67,78.7,57.31,2301,March 2020,35432,64568,51.08342,10.423447
Seychelles,,32.69,79.17,51.92,32.69,19.23,40.38,28.85,26.92,15.38,44.23,42.31,30.77,55.77,88.46,59.62,13,November 2019,36330,63670,-4.657498,55.454015
Bulgaria,,37.85,48.59,39.4,30.88,37.67,44.08,31.71,33.05,27.25,42.33,47.84,27.22,77.89,85.25,58.03,559,February 2020,38716,61284,42.607398,25.485662
Afghanistan,,79.7,78.47,74.49,73.78,80.92,75.21,77.46,71.27,64.93,76.49,77.05,76.74,82.95,36.81,23.04,72,February 2020,75824,24176,33.768007,66.238514
Tunisia,,43.06,63.92,39.87,47.32,36.99,46.31,36.84,37.27,24.85,38.1,42.76,32.52,68.67,72.07,48.21,177,February 2020,42607,57393,33.843941,9.400138
Lithuania,,34.37,35.87,29.05,32.11,28.17,38.2,35.39,29.82,25.6,32.01,41.8,27.64,55.27,84.95,56.45,444,March 2020,33685,66315,55.35,23.75
Syria,,70.45,73.36,64.52,66.33,63.33,65.25,66.88,64.79,63.75,51.04,65.21,67.83,80.17,40.45,28.02,125,February 2020,66785,33215,34.640186,39.049411
South Sudan,,91.04,85.16,86.76,73.65,78.76,82.04,74.75,66.3,69.57,59.78,84.12,83.76,94.57,62.25,19.76,25,February 2020,78255,21745,7.869943,29.66679
Mali,,40.62,56.25,46.88,40.62,28.12,15.62,34.38,25,31.25,46.43,34.38,25,75,71.88,68.75,8,April 2019,37656,62344,16.370036,-2.290024
Ethiopia,,45.77,67.16,49.25,51.47,42.16,58.96,42.16,42.42,32.72,39.02,57.35,44.12,75.75,71.32,40.81,68,January 2020,48689,51311,10.21167,38.65212
Zimbabwe,,57.48,76.14,66.57,59.4,48.42,67.15,50.15,51.34,37.77,51.06,65.65,55.65,91.13,65.05,35.2,102,March 2020,58389,41611,-18.455496,29.746841
South Africa,,84.94,83.27,78.39,79.22,74.1,78.01,73.63,62.12,62.9,73.42,79.29,83.68,86.65,38.61,13,2367,March 2020,77523,22477,25.213108,55.183275
Uzbekistan,,24.29,37.16,27.7,24.32,21.62,39.19,22.97,25,16.89,24.29,31.25,22.22,67.65,82.43,69.59,38,February 2020,28301,71699,41.32373,63.95281
Bolivia,,59.68,72.5,49.67,58.37,52.28,61.43,48.95,38.67,31.25,49.61,57.28,49.67,84.68,67.06,32.64,70,March 2020,54924,45076,-17.05687,-64.991229
Cape Verde,,62.5,75,58.33,58.33,37.5,54.17,41.67,41.67,37.5,58.33,58.33,62.5,41.67,50,12.5,6,February 2019,55882,44118,16.000055,-24.008395
